"associatedSequences","catalogNumber","collectedBy","collectedByID","collectionCode","collectionID","dataGeneralizations","dateIdentified","derivationEventID","derivationType","derivedFromMaterialEntityID","digitalSpecimenID","disposition","eventID","evidenceForOccurrenceID","higherClassificationName","higherClassificationRank","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","institutionCode","institutionID","isPartOfMaterialEntityID","materialCategory","materialEntityID","materialEntityRemarks","materialEntityType","materialReferences","objectQuantity","objectQuantityType","otherCatalogNumbers","ownerInstitutionCode","ownerInstitutionID","preparations","recordNumber","scientificName","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","typifiedName","verbatimIdentification","verbatimLabel"
"","RMNH.AVES.146776","","","","","","","","","","https://doi.org/TEST/ZZR-D22-SLP","","6c65dfda1f16f59450c646809228da1a","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.146776","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.170652","","","","","","","","","","https://doi.org/TEST/ZZR-5HM-JK5","","d36479b758c34a90e45cde43c9a09059","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.170652","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.224338","","","","","","","","","","https://doi.org/TEST/ZZR-3P0-CEY","","87b8b65fafac5e64a921481f6838c01d","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.224338","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.47607","","","","","","","","","","https://doi.org/TEST/ZZQ-RT5-6HT","","52693bc4e3603a34aff6fa508cf823a2","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.47607","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.54107","","","","","","","","","","https://doi.org/TEST/ZZQ-MKN-7ZB","","a24a58425efbb2cb360d83c7019d985c","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.54107","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.9141","","","","","","","","","","https://doi.org/TEST/ZZQ-LSP-M4C","","72d37839606bd8421325b8bc3fd056eb","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.9141","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.17937","","","","","","","","","","https://doi.org/TEST/ZZQ-HKB-LEG","","1d2a8fb54766b2261abddf0bb621012e","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.17937","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","RMNH.AVES.198467","","","","","","","","","","https://doi.org/TEST/ZZQ-FHG-WGC","","7b8aac16e9a2e9482a739a39eb2a3c65","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.198467","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.126660","","","","","","","","","","https://doi.org/TEST/ZZQ-BH7-T4H","","d1dc088969a83a6a5a94d169f0cd1f70","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.126660","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.98105","","","","","","","","","","https://doi.org/TEST/ZZQ-9LV-22Z","","3d7279a9c627fc7cdeab210f167a130c","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.98105","","","","","","","","","skin (air dried)","","","","","","","","","","",""
