"ACCESSURI","CREATEDATE","CREATOR","CREATORID","FORMAT","MEDIADESCRIPTION","MEDIAID","MEDIALANGUAGE","MEDIATYPE","MODIFIED","OWNER","RIGHTS","SOURCE","WEBSTATEMENT"
"https://medialib.naturalis.nl/file/id/RMNH.INS.1187790_1/format/large","","","","image/jpeg","","https://doi.org/TEST/C4F-DSS-E6J","","StillImage","2025-01-28T08:55:43.166Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1544042_1/format/large","","","","image/jpeg","","https://doi.org/TEST/BSC-S6D-TV1","","StillImage","2025-01-28T08:57:32.723Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.CRUS.P.2280/format/large","","","","image/jpeg","","https://doi.org/TEST/B0S-ZBK-LD9","","StillImage","2025-01-30T14:00:05.127Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1235551_1/format/large","","","","image/jpeg","","https://doi.org/TEST/AV7-5GP-9V4","","StillImage","2025-01-28T08:55:28.005Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1339269_1/format/large","","","","image/jpeg","","https://doi.org/TEST/ATS-ZH7-67T","","StillImage","2025-01-28T08:55:59.496Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.CRUS.D.38987/format/large","","","","image/jpeg","","https://doi.org/TEST/ADG-HJB-XDB","","StillImage","2025-01-30T13:54:40.302Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1330648_1/format/large","","","","image/jpeg","","https://doi.org/TEST/AAW-M16-JXR","","StillImage","2025-01-28T08:55:55.130Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.CRUS.D.25635/format/large","","","","image/jpeg","","https://doi.org/TEST/A9R-F3R-3ZR","","StillImage","2025-01-30T13:56:45.995Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5173204_1/format/large","","","","image/jpeg","","https://doi.org/TEST/A97-T5L-NHH","","StillImage","2025-01-28T08:56:50.884Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1184133_1/format/large","","","","image/jpeg","","https://doi.org/TEST/A5N-BAP-V2H","","StillImage","2025-01-28T08:50:00.398Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5195849_1/format/large","","","","image/jpeg","","https://doi.org/TEST/A1W-3J3-83L","","StillImage","2025-01-28T08:53:25.423Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
