"higherClassificationName","higherClassificationRank","identificationID","scientificName","taxonID","taxonRank","taxonRemarks","taxonSortOrder"
"Animalia","dwc:kingdom","6e088383af3075371da9451adc8dc0d6","Numenius arquata arquata (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BNQV6","SUBSPECIES","",""
"Animalia","dwc:kingdom","d3e4118a4d84163a98ac18bc7670296d","Asio flammeus flammeus (Pontoppidan, 1763)","https://www.catalogueoflife.org/data/taxon/5FT39","SUBSPECIES","",""
"Animalia","dwc:kingdom","01224d3fa1bdefd1da21abd196645e1b","Ixos virescens Temminck, 1825","https://www.catalogueoflife.org/data/taxon/3QHRK","SPECIES","",""
"Animalia","dwc:kingdom","2168e11fda7caa0191485b817556dfb8","Ploceus hypoxanthus hypoxanthus (Sparrman, 1788)","https://www.catalogueoflife.org/data/taxon/BNW8F","SUBSPECIES","",""
"Animalia","dwc:kingdom","60fcc70987661aa0a66bbbbf3a7779e4","Platylophus galericulatus galericulatus (Cuvier, 1816)","https://www.catalogueoflife.org/data/taxon/BNW4J","SUBSPECIES","",""
"Animalia","dwc:kingdom","42537e50bd27f7c0f51d8b53140c2bbb","Hypocharmosyna placentis intensior Kinnear, 1928","https://www.catalogueoflife.org/data/taxon/C462F","SUBSPECIES","",""
"Animalia","dwc:kingdom","ccedae75d21dc42784206cf0542df86f","Macronus gularis gularis (Horsfield, 1822)","https://www.catalogueoflife.org/data/taxon/5JH98","SUBSPECIES","",""
"Animalia","dwc:kingdom","02981a0b60525eeed7d6216e8f152050","Platysmurus Reichenbach, 1850","https://www.catalogueoflife.org/data/taxon/6S4T","GENUS","",""
"Animalia","dwc:kingdom","819a6c3237c5066aac7e899c32f6b723","Loxia curvirostra curvirostra Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/BNM6G","SUBSPECIES","",""
"Animalia","dwc:kingdom","45184d3a58893d2889df0fc63189a0fe","Larus glaucoides glaucoides B. Meyer, 1822","https://www.catalogueoflife.org/data/taxon/BNL22","SUBSPECIES","",""
"Animalia","dwc:kingdom","76aa636374428a7629bce56e238dcbfd","Spilopelia chinensis tigrina (Temminck, 1809)","https://www.catalogueoflife.org/data/taxon/5L9G5","SUBSPECIES","",""
"Animalia","dwc:kingdom","c188e0d08c2814250389641b8594ee2d","Lonchura leucogastroides (Moore, 1858)","https://www.catalogueoflife.org/data/taxon/6QMP9","SPECIES","",""
"Animalia","dwc:kingdom","9285449ba10a28a76fa9010ee5f5ca6f","Platalea leucorodia leucorodia Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/BNW3H","SUBSPECIES","",""
"Animalia","dwc:kingdom","7c12f7ff02ae3c6f871f9d1e8e560a54","Lanius schach bentet Horsfield, 1821","https://www.catalogueoflife.org/data/taxon/BNKYC","SUBSPECIES","",""
"Animalia","dwc:kingdom","950113d38083626bdfec04d3216f2d5c","Aplonis mysolensis (G. R. Gray, 1862)","https://www.catalogueoflife.org/data/taxon/FPJJ","SPECIES","",""
"Animalia","dwc:kingdom","7cf42f4d3965c452b0f1cebf406b9d63","Eupetes macrocerus macrocerus Temminck, 1831","https://www.catalogueoflife.org/data/taxon/BNF9D","SUBSPECIES","",""
"Animalia","dwc:kingdom","16700114612d3df7072674122b9db5a3","Pyrrhula pyrrhula europaea Vieillot, 1816","https://www.catalogueoflife.org/data/taxon/5KTDC","SUBSPECIES","",""
"Animalia","dwc:kingdom","8703cc0e34d3ac533ded187f11c6290c","Sericornis perspicillatus Salvadori, 1896","https://www.catalogueoflife.org/data/taxon/6YJWN","SPECIES","",""
"Animalia","dwc:kingdom","8762d9fc7e354333fad8e328681dc80f","Accipiter nisus nisus (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BMXYX","SUBSPECIES","",""
"Animalia","dwc:kingdom","859e4829994f6eff8a44ddf1fcafb753","Culicicapa helianthea helianthea (Wallace, 1865)","https://www.catalogueoflife.org/data/taxon/BN9VT","SUBSPECIES","",""
"Animalia","dwc:kingdom","43cb8b53a6076c332b610cd388962e4d","Myiobius barbatus barbatus (Gmelin, 1789)","https://www.catalogueoflife.org/data/taxon/BNPSL","SUBSPECIES","",""
"Animalia","dwc:kingdom","df293cb75ce26ebbd4b6a7fceb2e9878","Thalassarche melanophris (Temminck, 1828)","https://www.catalogueoflife.org/data/taxon/7C5H9","SPECIES","",""
"Animalia","dwc:kingdom","e9c99eb223afddfaeb149f3ae698273e","Dicaeum chrysorrheum chrysorrheum Temminck, 1829","https://www.catalogueoflife.org/data/taxon/BNBX3","SUBSPECIES","",""
"Animalia","dwc:kingdom","d6288f45d29cc22f4ab393104bdd8d6c","Rhipidura diluta diluta Wallace, 1864","https://www.catalogueoflife.org/data/taxon/BNYWF","SUBSPECIES","",""
"Animalia","dwc:kingdom","832b5db5702422b469da239dceaa5996","Parus major major Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/B773G","SUBSPECIES","",""
"Animalia","dwc:kingdom","19d1f5de04eabb7f64fb2bca62b83e42","Phasianus colchicus Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4FWMN","SPECIES","",""
"Animalia","dwc:kingdom","b55e0641816d0436aec456aa324df84f","Anthracothorax nigricollis (Vieillot, 1817)","https://www.catalogueoflife.org/data/taxon/67H6R","SPECIES","",""
"Animalia","dwc:kingdom","478c1f10214cfba95da14a6d57fb6922","Uraeginthus ianthinogaster Reichenow, 1879","https://www.catalogueoflife.org/data/taxon/7DND3","SPECIES","",""
"Animalia","dwc:kingdom","2fbe5c21f022f25c22fed2d79146ae3d","Linaria cannabina cannabina (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BNLPW","SUBSPECIES","",""
"Animalia","dwc:kingdom","bf774e5447ec4cc753c6dd902b503ee4","Arenaria interpres interpres (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BN2MZ","SUBSPECIES","",""
