"MATERIALENTITYID","MEDIAID","MEDIASUBJECTCATEGORY","MEDIASUBJECTCATEGORYIRI","MEDIASUBJECTCATEGORYVOCABULARY"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.134385","https://doi.org/TEST/EH2-Q9K-VTG","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.134385","https://doi.org/TEST/VV1-ZYC-MB5","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.53647","https://doi.org/TEST/CNC-L85-X0P","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.53647","https://doi.org/TEST/WC0-XQB-0DB","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.153661","https://doi.org/TEST/GX9-DRD-HCQ","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.153661","https://doi.org/TEST/4WV-XXH-WQ9","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.149027","https://doi.org/TEST/2XL-XRK-1CL","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.149027","https://doi.org/TEST/C1N-HSS-NX8","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.153305","https://doi.org/TEST/LC5-691-NS8","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.153305","https://doi.org/TEST/PBT-XTW-PDV","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.143308","https://doi.org/TEST/T4T-WF6-JXA","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.143308","https://doi.org/TEST/012-HC1-FZR","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.121916","https://doi.org/TEST/2TC-P1Z-GH4","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.121916","https://doi.org/TEST/EZT-BA4-ABV","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.100019","https://doi.org/TEST/BTX-RY8-12V","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.100019","https://doi.org/TEST/QLH-2SD-PV1","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.140130","https://doi.org/TEST/CH2-E1Y-FVA","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.140130","https://doi.org/TEST/SZM-4KS-QPG","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.64307","https://doi.org/TEST/4F7-ZMY-F7N","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.64307","https://doi.org/TEST/0ZC-DFV-J8T","","",""
