"basedOnMaterialEntityID","basedOnMediaID","basedOnNucleotideAnalysisID","basedOnNucleotideSequenceID","basedOnOccurrenceID","dateIdentified","higherClassificationName","higherClassificationRank","identificationID","identificationReferences","identificationRemarks","identificationType","identificationVerificationStatus","identifiedBy","identifiedByID","isAcceptedIdentification","scientificName","taxonAssignmentMethod","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","verbatimIdentification"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.24254","","","","","","","","c188e0d08c2814250389641b8594ee2d","","","MaterialEntity","","","","true","","","","","","","","","Lonchura leucogastroides Horsfield & F. Moore, 1856"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.64480","","","","","","","","9285449ba10a28a76fa9010ee5f5ca6f","","","MaterialEntity","","","","true","","","","","","","","","Platalea leucorodia leucorodia Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.23934","","","","","","","","7c12f7ff02ae3c6f871f9d1e8e560a54","","","MaterialEntity","","","","true","","","","","","","","","Lanius schach bentet"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.4560","","","","","","","","950113d38083626bdfec04d3216f2d5c","","","MaterialEntity","","","","true","","","","","","","","","Aplonis mysolensis forsteni Mayr, 1934"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.100878","","","","","","","","150a5b82a77aedfc27144290c4fcce2c","","","MaterialEntity","","","","true","","","","","","","","","Garrulus glandarius glandarius Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89301","","","","","","","","7cf42f4d3965c452b0f1cebf406b9d63","","","MaterialEntity","","","","true","","","","","","","","","Eupetes macrocerus macrocerus Temminck, 1831"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.35006","","","","","","","","16700114612d3df7072674122b9db5a3","","","MaterialEntity","","","","true","","","","","","","","","Pyrrhula pyrrhula europoea Vieillot, 1816"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.18560","","","","","","","","8703cc0e34d3ac533ded187f11c6290c","","","MaterialEntity","","","","true","","","","","","","","","Sericornis perspicillatus Salvadori, 1896"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.233147","","","","","","","","b9f9146cca84dec24c1514b8b846059a","","","MaterialEntity","","","","true","","","","","","","","","Vanellus vanellus (Linnaeus, 1758)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.156018","","","","","","","","8762d9fc7e354333fad8e328681dc80f","","","MaterialEntity","","","","true","","","","","","","","","Accipiter nisus nisus (Linnaeus, 1758)"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.47185","","","","","","","","859e4829994f6eff8a44ddf1fcafb753","","","MaterialEntity","","","","true","","","","","","","","","Culicicapa helianthea helianthea Wallace, 1865"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.33281","","","","","","","","43cb8b53a6076c332b610cd388962e4d","","","MaterialEntity","","","","true","","","","","","","","","Myiobius barbatus barbatus (Gmelin, 1789)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.24500","","","","","","","","df293cb75ce26ebbd4b6a7fceb2e9878","","","MaterialEntity","","","","true","","","","","","","","","Diomedea melanophris Temminck, 1829"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.131995","","","","","","","","e9c99eb223afddfaeb149f3ae698273e","","","MaterialEntity","","","","true","","","","","","","","","Dicaeum chrysorrheum chrysorrheum Temminck & Laugier, 1829"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.71101.a","","","","","","","","d6288f45d29cc22f4ab393104bdd8d6c","","","MaterialEntity","","","","true","","","","","","","","","rhipidura diluta diluta"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.131263","","","","","","","","832b5db5702422b469da239dceaa5996","","","MaterialEntity","","","","true","","","","","","","","","Parus major major Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.5782","","","","","","","","19d1f5de04eabb7f64fb2bca62b83e42","","","MaterialEntity","","","","true","","","","","","","","","Phasianus colchicus Linnaeus"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.102192","","","","","","","","b55e0641816d0436aec456aa324df84f","","","MaterialEntity","","","","true","","","","","","","","","Anthracothorax nigricollis nigricollis (Vieillot, 1817)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.93191","","","","","","","","478c1f10214cfba95da14a6d57fb6922","","","MaterialEntity","","","","true","","","","","","","","","Uraeginthus ianthinogaster ianthinogaster Reichenow, 1879"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.16147.b","","","","","","","","2fbe5c21f022f25c22fed2d79146ae3d","","","MaterialEntity","","","","true","","","","","","","","","Carduelis cannabina cannabina"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.38771","","","","","","","","bf774e5447ec4cc753c6dd902b503ee4","","","MaterialEntity","","","","true","","","","","","","","","Arenaria interpres interpres Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.161861","","","","","","","","c6038eb6ef93da8230ac1e4fcf785406","","","MaterialEntity","","","","true","","","","","","","","","Megalaima rafflesii rafflesii (Lesson)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.107361","","","","","","","","c7f5f9f53d67f7b9b491eab29792e34f","","","MaterialEntity","","","","true","","","","","","","","","Podiceps grisegena grisegena (Boddaert, 1783)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.205463","","","","","","","","5b86bd3aa7bb4fd4f24803f42e24b37f","","","MaterialEntity","","","","true","","","","","","","","","Hylomanes momotula Lichtenstein"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.92316","","","","","","","","833ee7da8c8ca528dc5f6b893acd3afb","","","MaterialEntity","","","","true","","","","","","","","","Nectarinia erythrocerca Hartlaub, 1857"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.156767","","","","","","","","dd469eb847b397799ee1d7a7da993240","","","MaterialEntity","","","","true","","","","","","","","","Anser anser Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.12416","","","","","","","","91c75c12bf5b224c68f95bde8a58139b","","","MaterialEntity","","","","true","","","","","","","","","Rallus aquaticus aquaticus Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.54388","","","","","","","","59ebfef4980265785309f5695b325411","","","MaterialEntity","","","","true","","","","","","","","","Acanthiza chrysorrhoa multi Mathews, 1912"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.34938","","","","","","","","c65d33f7f8fb51301818389b0952a357","","","MaterialEntity","","","","true","","","","","","","","","Regulus regulus regulus Linnaeus, 1758"
