"uid","domainID","siteID","namedLocation","passStartTime","passEndTime","eventID","passNumber","specimenNumber","taxonID","scientificName","taxonRank","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","fishTotalLength","fishWeight","delt","efMortality","efInjury","fishLifeStage","sampleTypeCollected","voucherSampleID","dnaSampleID","identifiedBy","remarks","publicationDate","release"
"890e8552-a038-47f7-8454-4005521d8be7","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 23:00:00,2019-04-23 00:05:00,"BIGC.20190422.01.3.e-fisher",3,5,"SALSP2","Salmonidae sp.","family",NA,NA,NA,87,7,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"67277e43-41bd-4187-9739-dd557ed367e0","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,8,"SALTRU","Salmo trutta","species",NA,NA,NA,100,9,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"dccfab68-853e-4503-8ef0-91a33fc8373a","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,35,"SALTRU","Salmo trutta","species",NA,NA,NA,199,72,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"ac5945e8-2c48-41a1-a4d1-63d48737018f","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,4,"SALTRU","Salmo trutta","species",NA,NA,NA,205,85,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"b1d6df16-9530-4518-9e5c-83394edc5d85","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,32,"SALTRU","Salmo trutta","species",NA,NA,NA,110,12,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"e6334baf-67d9-4ddc-813b-1d90bdc056d0","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,31,"SALTRU","Salmo trutta","species",NA,NA,NA,114,13,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"6eddaad7-42dd-4fec-affb-1900a5c39724","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,29,"SALTRU","Salmo trutta","species",NA,NA,NA,110,16,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"11f512c7-5ce9-46ae-9fa0-c21b3324c0d2","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,7,"SALTRU","Salmo trutta","species",NA,NA,NA,117,15,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"2ba4b8a7-b48b-4a9c-844f-580de7a5d47a","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,19,"SALTRU","Salmo trutta","species",NA,NA,NA,210,90,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"aacf4e05-143d-496c-ac3c-1f1d582fe817","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,20,"SALTRU","Salmo trutta","species",NA,NA,NA,192,67,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
