identificationID	agentID	agentRole
AAV3FF_00287_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00288_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00289_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00290_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00291_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00292_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00293_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00294_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00295_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00296_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00297_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00298_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00299_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00300_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00301_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00302_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00303_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00304_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00305_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00306_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00307_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00308_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00309_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00310_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00311_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00312_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00313_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00314_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00315_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00019_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00020_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00021_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00022_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00023_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00316_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00024_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00025_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00317_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00318_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00320_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00321_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00001_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00002_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00003_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00004_ID	AVdP_specimen_identifier	specimen identifier
