materialEntityID	eventID	materialEntityType	preparations	disposition	collectedBy	collectedByID	identifiedBy	identifiedByID	verbatimIdentification	scientificName	taxonID	kingdom	taxonRank	identificationRemarks	materialEntityRemarks	derivedFromMaterialEntityID	derivationType	partOfMaterialEntityID
AAV3FF_00055	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Megan	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00056	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Megan	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00057	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00058	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00059	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00060	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00061	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00062	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00063	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00064	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00065	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00066	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00067	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00068	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00069	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00070	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00071	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00072	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00073	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00074	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00075	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Anton	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
AAV3FF_00076	BROKE_WEST_RMT_022_RMT8	whole organism	Frozen	Megan	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Pleuragramma antarcticum	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	Animalia	Species					
