occurrenceID	eventID	recordedBy	recordedByID	organismQuantity	organismQuantityType	lifeStage	occurrenceStatus	verbatimIdentification	identifiedBy	identifiedByID	taxonID	kingdom	scientificName	taxonRank
BROKE_WEST_RMT_087_RMT8_234695	BROKE_WEST_RMT_087_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_093_RMT8_217697	BROKE_WEST_RMT_093_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	4	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_093_RMT8_217697_Larvae	BROKE_WEST_RMT_093_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	4	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_093_RMT8_234695	BROKE_WEST_RMT_093_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	7	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_097_RMT8_217697	BROKE_WEST_RMT_097_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_097_RMT8_217697_Postmeta	BROKE_WEST_RMT_097_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals	Postmeta	present	Electrona antarctica  Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_097_RMT8_234695	BROKE_WEST_RMT_097_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	9	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_098_RMT8_234695	BROKE_WEST_RMT_098_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	3	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_101_RMT8_217697	BROKE_WEST_RMT_101_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	7	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_101_RMT8_217697_Postmeta	BROKE_WEST_RMT_101_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	7	individuals	Postmeta	present	Electrona antarctica  Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_101_RMT8_234695	BROKE_WEST_RMT_101_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_102_RMT8_234695	BROKE_WEST_RMT_102_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_102_RMT8_234552	BROKE_WEST_RMT_102_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Bathydraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234552	Animalia	Bathydraco	Genus
BROKE_WEST_RMT_105_RMT8_234730	BROKE_WEST_RMT_105_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Pogonophryne marmorata	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234730	Animalia	Pogonophryne marmorata	Species
BROKE_WEST_RMT_105_RMT8_234800	BROKE_WEST_RMT_105_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Gymnodraco acuticeps	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234800	Animalia	Gymnodraco acuticeps	Species
BROKE_WEST_RMT_105_RMT8_234582	BROKE_WEST_RMT_105_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234582	Animalia	Chionodraco	Genus
BROKE_WEST_RMT_105_RMT8_1621601	BROKE_WEST_RMT_105_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Pagetopsis maculatus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:1621601	Animalia	Pagetopsis maculatus	Species
BROKE_WEST_RMT_105_RMT8_234721	BROKE_WEST_RMT_105_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	3	individuals		present	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
