assertion_id	event_id	assertion_type	assertion_type_iri	assertion_type_vocabulary	assertion_made_date	assertion_effective_date	assertion_value	assertion_value_iri	assertion_value_vocabulary	assertion_value_numeric	assertion_unit	assertion_unit_iri	assertion_unit_vocabulary	assertion_by	assertion_by_id	assertion_protocol	assertion_protocol_id	assertion_citation	assertion_remarks
1ba8acd9-0fb2-4bcd-82d6-a48bd41b87ba	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
a16f1660-78df-4fad-a33e-97113696e83a	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
eb5d4745-f39c-442b-ab9e-fbf8fe9c7e85	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
d5df55fb-38f7-4c1b-aee9-f00b79e5e217	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
c83ecc3a-4172-4ffa-8faa-552423d363a4	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
33aa3444-211e-4870-a151-ea7be84d2ecb	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
16b17ad6-04c2-48cc-9453-ea25e5b322c9	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
6f7c2677-d400-4922-99cc-797fac9d9adf	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
f8c7fc6a-9dfb-4675-96f1-89c25c957e22	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
e7d94566-0e9c-4d6b-bd6e-9f9a54c78ae0	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
970cc505-d4c3-47e3-9865-d003a16a2c0f	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
73e1dd33-5b32-4046-b1e3-5e2d627e06e4	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
153b5551-dd32-4404-8fea-bebcb5687b8f	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
b623ba98-8412-43a8-a880-aa0209955654	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
4d90fcf4-0902-4da7-872c-e35ff07ef721	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
894f792e-a4ce-4e59-9a5c-1b0339ba11b6	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
800b2d75-8003-4b34-b663-b70d12486de8	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
63a3bc7c-0549-4a07-aef0-1cb4a2350ecc	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
e796c4db-b75b-4bc8-afe9-d0a6a292ed3d	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
05c47d8e-007a-452f-946a-8dc63f3ff3a3	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
98d573eb-ecfd-4c47-971a-06ddd186b953	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
6d68216c-8cbf-4012-89a8-8843fe9cf763	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
3f302b70-0222-4fbc-b953-bd838724d327	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
dab30ade-3c30-46b9-b058-aef67bc96f3d	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
af847e88-40f8-450f-9880-9cdf60c50521	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
c37b9c45-c4c9-4952-b5da-32bfbe55c8c5	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
f9e296a1-b5f4-4dac-b95e-5d4944712a07	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
e29eb829-6f02-468b-9b93-80ac289b4fc0	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
303373b5-0c31-4a7b-bda0-41e13bbabb7d	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
0167a9be-203a-4ca4-9e35-4ff41856ba41	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
7e5ccb94-0605-4850-87a7-7103c78b1508	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
129cf501-461e-4f57-92f5-3d3f820e6e76	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
d422f0b1-cbf1-4598-854f-c1c94a5ef440	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
f5dcb1a7-2f9a-4b23-a9a1-189b18c6dbde	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
aab171ea-a751-42a6-ad66-efae666fc315	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
