event_id	parent_event_id	preferred_event_name	event_category	event_type	dataset_name	dataset_id	field_number	event_conducted_by	event_conducted_by_id	event_date	event_time	start_day_of_year	end_day_of_year	year	month	day	verbatim_event_date	verbatim_locality	verbatim_elevation	verbatim_depth	verbatim_coordinates	verbatim_latitude	verbatim_longitude	verbatim_coordinate_system	verbatim_srs	georeference_verification_status	habitat	event_effort	field_notes	event_references	event_remarks	location_id	higher_geography_id	higher_geography	continent	water_body	island_group	island	country	country_code	state_province	county	municipality	locality	site_number	minimum_elevation_in_meters	maximum_elevation_in_meters	vertical_datum	minimum_depth_in_meters	maximum_depth_in_meters	minimum_distance_above_surface_in_meters	maximum_distance_above_surface_in_meters	location_remarks	decimal_latitude	decimal_longitude	geodetic_datum	coordinate_uncertainty_in_meters	coordinate_precision	point_radius_spatial_fit	footprint_wkt	footprint_srs	footprint_spatial_fit	georeferenced_by	georeferenced_by_id	georeferenced_date	georeference_protocol	georeference_protocol_id	georeference_sources	georeference_remarks	preferred_spatial_representation	geological_context_id	feedback_url	information_withheld	data_generalizations
ba177142-0ca5-4731-a5f7-7e2ac95b21de	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-24T20:15:35Z	20:15:35			2019	3	24	2019-03-24 1:15:35 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.825302124	-118.3592758179	epsg:4326									2019-03-24	gps		gps		point-radius				
ee29212c-73ef-4865-b63d-737c6a91053b	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-27T21:18:03Z	21:18:03			2019	3	27	2019-03-27 2:18:03 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8684806824	-118.4954299927	epsg:4326									2019-03-27	gps		gps		point-radius				
77bf65b3-1594-43ca-abc8-e300b3c2edf7	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-27T21:18:07Z	21:18:07			2019	3	27	2019-03-27 2:18:07 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8684806824	-118.4954299927	epsg:4326									2019-03-27	gps		gps		point-radius				
4c03adfb-b7a8-4679-9fa4-8cfc4faee287	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-27T21:28:58Z	21:28:58			2019	3	27	2019-03-27 2:28:58 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8684997559	-118.4956970215	epsg:4326									2019-03-27	gps		gps		point-radius				
681248f1-9658-4dc3-a1ca-2838143aeebe	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-27T17:47:34Z	17:47:34			2019	3	27	2019-03-27 10:47:34 AM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8697242737	-118.4958267212	epsg:4326									2019-03-27	gps		gps		point-radius				
be737e79-fb77-409f-ba85-285ffc4d2ff4	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-27T17:45:49Z	17:45:49			2019	3	27	2019-03-27 10:45:49 AM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8697395325	-118.4958267212	epsg:4326									2019-03-27	gps		gps		point-radius				
66030bf8-6475-47b4-a732-a45f8477909e	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-28T16:52:31Z	16:52:31			2019	3	28	2019-03-28 9:52:31 AM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8685188293	-118.4886856079	epsg:4326									2019-03-28	gps		gps		point-radius				
9e6f7ccb-0fa1-4c8a-877b-6aca56efdf8b	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-28T17:08:08Z	17:08:08			2019	3	28	2019-03-28 10:08:08 AM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8684043884	-118.4890289307	epsg:4326									2019-03-28	gps		gps		point-radius				
e87d5c51-8748-4f4f-9fab-d8d6e8b116e7	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-28T16:52:43Z	16:52:43			2019	3	28	2019-03-28 9:52:43 AM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.868522644	-118.4886856079	epsg:4326									2019-03-28	gps		gps		point-radius				
83c6af1f-f650-428f-b8fa-21d383ff7131	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-28T17:13:29Z	17:13:29			2019	3	28	2019-03-28 10:13:29 AM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8684463501	-118.4889221191	epsg:4326									2019-03-28	gps		gps		point-radius				
