agentID,occurrenceID,agentRole
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-003,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-005,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-006,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-007,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-008,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-009,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-010,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-011,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-012,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-013,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-014,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-015,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-016,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-017,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-018,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-020,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-021,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-024,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-025,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-026,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-027,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-028,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-029,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-030,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-031,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-032,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-033,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-035,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-036,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-037,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-038,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-039,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-040,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-001,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-002,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-003,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-004,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-005,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-006,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-007,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-008,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-009,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-010,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-011,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-012,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-013,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-014,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-015,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-016,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-017,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-018,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-019,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-020,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-021,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-022,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-023,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-024,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-025,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-026,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-027,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-028,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-029,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-030,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-031,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-032,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-033,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-034,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-035,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-036,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-037,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-038,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-039,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:COY16-040,collector
