tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8440,16427,"AA36","EGY",1660,"11",1981,8,26,"1940",54.75,4.5,,,"38F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16428,"AA36","EGY",1302,"12",1981,8,27,"0015",54.75,5.5,,,"38F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16429,"AA36","EGY",1348,"12",1981,8,27,"0015",54.75,5.5,,,"38F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16430,"AA36","EGY",1435,"12",1981,8,27,"0015",54.75,5.5,,,"38F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16431,"AA36","EGY",1556,"12",1981,8,27,"0015",54.75,5.5,,,"38F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16432,"AA36","EGY",1666,"12",1981,8,27,"0015",54.75,5.5,,,"38F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16433,"AA36","EGY",1300,"13",1981,8,27,"0540",54.25,5.5,,,"37F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16434,"AA36","EGY",1346,"13",1981,8,27,"0540",54.25,5.5,,,"37F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16435,"AA36","EGY",1434,"13",1981,8,27,"0540",54.25,5.5,,,"37F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16436,"AA36","EGY",1555,"13",1981,8,27,"0540",54.25,5.5,,,"37F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16437,"AA36","EGY",1665,"13",1981,8,27,"0540",54.25,5.5,,,"37F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16438,"AA36","EGY",1299,"14",1981,8,27,"0710",53.75,5.5,,,"36F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16439,"AA36","EGY",1345,"14",1981,8,27,"0710",53.75,5.5,,,"36F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16440,"AA36","EGY",1433,"14",1981,8,27,"0710",53.75,5.5,,,"36F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16441,"AA36","EGY",1554,"14",1981,8,27,"0710",53.75,5.5,,,"36F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16442,"AA36","EGY",1664,"14",1981,8,27,"0710",53.75,5.5,,,"36F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16443,"AA36","EGY",1351,"15",1981,8,27,"1050",53.75,6.5,,,"36F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
